City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Nsoko,SZ,2022-04-03 19:39:15,-27.0333,31.95,76.26,94,100,3.8,overcast clouds
189,Laguna,US,2022-04-03 19:39:15,38.421,-121.4238,78.78,24,0,9.22,clear sky
190,Shetpe,KZ,2022-04-03 19:39:16,44.1667,52.1167,62.38,51,100,8.66,overcast clouds
191,Henderson,US,2022-04-03 19:38:44,36.0397,-114.9819,80.04,23,0,12.66,clear sky
192,Kostino,RU,2022-04-03 19:39:16,58.9097,53.2691,36.14,98,100,12.1,overcast clouds
193,Saskylakh,RU,2022-04-03 19:36:48,71.9167,114.0833,-7.06,98,100,9.66,overcast clouds
194,Bedele,ET,2022-04-03 19:39:16,8.456,36.353,63.61,59,100,3.91,light rain
195,Edgecumbe,NZ,2022-04-03 19:39:17,-37.9833,176.8333,63.79,96,15,2.48,few clouds
196,Turukhansk,RU,2022-04-03 19:39:17,65.8167,87.9833,-5.08,100,23,3.96,few clouds
197,Mahudha,IN,2022-04-03 19:39:17,22.8167,72.9333,84.38,38,0,7.0,clear sky
198,Jonkoping,SE,2022-04-03 19:39:18,57.7814,14.1562,37.38,75,99,10.36,overcast clouds
199,Coffs Harbour,AU,2022-04-03 19:39:18,-30.3,153.1333,65.14,88,100,7.45,light rain
200,Sinnamary,GF,2022-04-03 19:39:18,5.3833,-52.95,79.23,87,50,11.65,moderate rain
201,Walvis Bay,NA,2022-04-03 19:37:20,-22.9575,14.5053,59.09,88,0,4.61,clear sky
202,Wageningen,NL,2022-04-03 19:39:19,51.9667,5.6667,40.03,83,36,6.31,scattered clouds
203,Kloulklubed,PW,2022-04-03 19:39:19,7.0419,134.2556,75.7,79,100,4.61,overcast clouds
204,Kahului,US,2022-04-03 19:39:19,20.8947,-156.47,78.82,66,40,25.32,scattered clouds
205,Kirakira,SB,2022-04-03 19:39:20,-10.4544,161.9205,80.71,83,100,10.67,overcast clouds
206,Umm Kaddadah,SD,2022-04-03 19:39:20,13.6017,26.6876,84.74,9,100,12.19,overcast clouds
207,Lompoc,US,2022-04-03 19:39:20,34.6391,-120.4579,67.69,78,100,7.0,overcast clouds
208,Boundiali,CI,2022-04-03 19:39:21,9.5217,-6.4869,86.31,44,97,6.15,overcast clouds
209,Anaconda,US,2022-04-03 19:39:21,46.1285,-112.9423,43.79,32,91,10.27,overcast clouds
210,Suntar,RU,2022-04-03 19:39:22,62.1444,117.6319,-1.61,100,77,3.31,broken clouds
211,Biryusinsk,RU,2022-04-03 19:39:22,55.9634,97.8235,20.1,90,91,2.35,overcast clouds
212,Sarahan,IN,2022-04-03 19:39:22,31.5167,77.8,49.55,34,2,8.72,clear sky
213,Marawi,PH,2022-04-03 19:39:23,7.9986,124.2928,67.33,95,89,0.98,overcast clouds
214,Kuningan,ID,2022-04-03 19:39:23,-6.9758,108.4831,69.21,93,100,1.03,overcast clouds
215,Nadym,RU,2022-04-03 19:39:23,65.5333,72.5167,13.75,91,100,14.92,overcast clouds
216,Nishihara,JP,2022-04-03 19:39:24,26.1842,127.7558,63.68,80,40,12.66,scattered clouds
217,Loreto,MX,2022-04-03 19:39:24,22.2667,-101.9667,83.97,8,100,13.0,overcast clouds
218,Thompson,CA,2022-04-03 19:38:23,55.7435,-97.8558,37.56,48,100,11.5,overcast clouds
