City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
250,Sao Filipe,31,CV,2022-04-03 16:07:02,75,14.8961,-24.4956,71.31,11.5
251,Igdir,75,TR,2022-04-03 16:02:13,36,39.9237,44.045,71.53,6.13
252,Matias Barbosa,70,BR,2022-04-03 16:07:03,73,-21.8692,-43.3194,79.52,2.98
253,Mattru,85,SL,2022-04-03 16:07:03,50,7.6244,-11.8332,91.15,5.93
254,Krasnoye,100,UA,2022-04-03 16:07:03,79,49.9145,24.6134,33.04,13.38
255,Tuktoyaktuk,100,CA,2022-04-03 16:07:04,100,69.4541,-133.0374,-19.25,2.59
256,Vicuna,1,CL,2022-04-03 16:07:04,32,-30.0319,-70.7081,83.77,7.34
257,Sechura,86,PE,2022-04-03 16:07:05,61,-5.5569,-80.8222,78.15,8.08
258,Olafsvik,100,IS,2022-04-03 16:07:05,88,64.8945,-23.7142,40.75,10.42
259,Nazare,79,BR,2022-04-03 16:07:05,58,-13.035,-39.0144,85.96,7.81
260,Salamanca,50,ES,2022-04-03 16:07:06,31,40.8333,-6.0,46.18,17.92
261,Marystown,91,CA,2022-04-03 16:07:06,100,47.1666,-55.1483,38.86,18.01
262,Champerico,12,GT,2022-04-03 16:07:06,59,14.3,-91.9167,90.14,10.56
263,Jumla,2,NP,2022-04-03 16:07:07,43,29.2747,82.1838,48.96,4.74
264,Locri,100,IT,2022-04-03 16:07:07,50,38.2414,16.2623,55.31,7.58
265,Ribeira Brava,100,PT,2022-04-03 16:07:08,88,32.65,-17.0667,61.0,11.9
266,Lazaro Cardenas,1,MX,2022-04-03 16:07:08,55,17.9583,-102.2,78.8,3.33
267,Hirara,100,JP,2022-04-03 16:07:08,73,24.8,125.2833,68.72,26.11
268,Namibe,96,AO,2022-04-03 16:07:09,78,-15.1961,12.1522,73.53,9.84
269,Airai,82,TL,2022-04-03 16:07:09,84,-8.9266,125.4092,57.88,1.48
270,Marrakesh,75,MA,2022-04-03 16:04:34,63,31.6315,-8.0083,66.27,6.91
271,Kieta,45,PG,2022-04-03 16:07:10,85,-6.2167,155.6333,78.12,1.72
272,Bima,54,ID,2022-04-03 16:07:10,94,-8.4667,118.7167,75.45,2.71
273,Black River,3,JM,2022-04-03 16:07:11,51,18.0264,-77.8487,86.45,7.92
274,Hami,3,CN,2022-04-03 16:07:11,22,42.8,93.45,57.0,11.16
275,San Cristobal,100,VE,2022-04-03 16:08:11,54,7.7669,-72.225,80.78,6.51
276,Moron,84,AR,2022-04-03 16:08:12,70,-34.6534,-58.6198,71.94,5.91
277,Maniitsoq,47,GL,2022-04-03 16:08:12,85,65.4167,-52.9,34.77,4.94
278,Conde,40,BR,2022-04-03 16:08:12,70,-7.2597,-34.9075,83.66,13.8
279,Klyuchi,36,RU,2022-04-03 16:08:13,79,52.2667,79.1667,39.27,3.04
280,Necochea,75,AR,2022-04-03 16:08:13,62,-38.5473,-58.7368,65.37,18.01
281,Presidente Medici,46,BR,2022-04-03 16:03:55,69,-11.1753,-61.9014,85.12,2.1
282,Deputatskiy,41,RU,2022-04-03 16:08:14,99,69.3,139.9,-18.85,2.46
283,Taltal,0,CL,2022-04-03 16:08:14,66,-25.4,-70.4833,68.31,7.58
284,Sesvete,0,HR,2022-04-03 16:08:15,48,45.8311,16.1164,46.53,0.0
285,Kita,50,ML,2022-04-03 16:08:15,11,13.0349,-9.4895,106.07,1.7
286,Victor Harbor,11,AU,2022-04-03 16:08:15,88,-35.5667,138.6167,57.81,5.03
287,Inirida,99,CO,2022-04-03 16:08:16,76,3.8653,-67.9239,82.26,3.56
288,Bodinayakkanur,79,IN,2022-04-03 16:08:16,74,10.0167,77.35,78.31,2.82
289,Ahipara,3,NZ,2022-04-03 16:08:16,92,-35.1667,173.1667,61.79,2.98
290,Torbat-E Jam,1,IR,2022-04-03 16:08:17,17,35.244,60.6225,71.49,1.92
291,Qingdao,0,CN,2022-04-03 16:08:17,75,36.0986,120.3719,47.32,8.68
292,Rybinsk,99,RU,2022-04-03 16:08:18,80,58.0446,38.8426,27.32,11.14
293,Zhangjiakou,14,CN,2022-04-03 16:08:18,25,40.81,114.8794,49.06,3.47
